SKU,PlatformID,Platform
FLYBP202101,462389282001,AJ
FLYBP2101,462389282002,AJ
FLYBP202102,462400177001,AJ
FLYBP2102,462400177002,AJ
LWBP20213001,462504137001,AJ
LWBP20213003,462504139001,AJ
LWBP20213004,462504141001,AJ
LWBP20213006,462504142001,AJ
LWBP20213009,462504143001,AJ
LWBP20213010,462504144001,AJ
LWBP20213005,462504146001,AJ
LWBP20213008,462504148001,AJ
LWBP20213018,462504150001,AJ
LWBP20213019,462504152001,AJ
LWBP20213021,462504155001,AJ
LWBP20213024,462504157001,AJ
LWBP20213028,462504159001,AJ
LWBP20213032,462504160001,AJ
LWBP20213031,462504161001,AJ
LWBP20213035,462504162001,AJ
FLYBP2104,462504167001,AJ
LWBP20213036,462504168001,AJ
LWBP20213020,462504186001,AJ
LWBP20213026,462504189001,AJ
LWBP20213033,462504197001,AJ
LWBP20213038,462504202001,AJ
LWBP20213007,462507201001,AJ
LWBP20213022,462507585001,AJ
LWBP20213017,462507589001,AJ
LWBP20213027,462507595001,AJ
LWBP20213029,462507599001,AJ
LWBP20213030,462507602001,AJ
LWBP20213037,462507609001,AJ
LWBP20213025,462507619001,AJ
LWBP20213023,462507646001,AJ
FLYBP2103,462507653001,AJ
LWBP20213034,462515865001,AJ
LWBP20213002,462515923001,AJ
LWWP2101,462506640001,AJ
FLYOB202107,462581826001,AJ
FLYOB202109,462581881001,AJ
FLYOB202110,462586826001,AJ
FLYOB202111,462586845001,AJ
FLYOB202104,462587916001,AJ
FLYOB202106,462587916002,AJ
FLYOB202105,462587916003,AJ
FLYOB202101,462587952001,AJ
FLYOB202102,462587952002,AJ
FLYSB202103,462501023001,AJ
FLYSB202102,462501030001,AJ
FLYSB202106,462501120001,AJ
FLYSB202101,462507028001,AJ
FLYSB202104,462507030001,AJ
FLYSB202105,462507052001,AJ
LWBP20213016,462519756001,AJ
LWBP20213011,462519833001,AJ
LWBP20213014,462519842001,AJ
LWBP20213015,462519855001,AJ
LWBP20213012,462519874001,AJ
LWBP20213013,462588222001,AJ
FLYDB20214001,462491775001,AJ
FLYDB20214002,462491779001,AJ
FLYDB20214003,462491782001,AJ
LWBP19203082,462389013001,AJ
LWBP19203068,462389061001,AJ
LWBP19203080,462389075001,AJ
LWBP19203078,462389167001,AJ
LWBP19203084,462389200001,AJ
LWBP19203067,462389205001,AJ
LWBP19203085,462396919001,AJ
LWBP19203083,462397027001,AJ
LWBP19203079,462400167001,AJ
LWHK2020105,462400209001,AJ
LWBP19203076,462417944001,AJ
LWBP19203077,462417969001,AJ
LWHK2020101,462417971001,AJ
LWHK2020102,462418613001,AJ
LWHK2020103,462418629001,AJ
LWHK2020104,462418636001,AJ
LWHK2020106,462421213001,AJ
LWBP19203081,462447813001,AJ
LWHK2207,465631157001,AJ
LWDB214103,463084566001,AJ
LWDB214102,463084566002,AJ
LWOB16171121,462314087001,AJ
LWOB16171124,462314114001,AJ
LWOB16171124,462314130001,AJ
LWOB16171132,462314154001,AJ
LWOB16171066,462314192001,AJ
LWOB16171067,462314205001,AJ
LWOB16171069,462314209001,AJ
LWOB16171065,462314211001,AJ
LWOB16171083,462314225001,AJ
LWOB16171085,462314240001,AJ
LWOB16171123,462314261001,AJ
LWOB16171127,462314309001,AJ
LWOB16171148,462314331001,AJ
LWOB16171079,462314343001,AJ
LWOB16171149,462314346001,AJ
LWOB16171062,462314351001,AJ
LWOB16171070,462314365001,AJ
LWOB16171073,462314374001,AJ
LWOB16171078,462314378001,AJ
LWOB16171129,462314458001,AJ
LWOB16171063,462314470001,AJ
LWOB16171071,462314479001,AJ
LWOB16171119,462314519001,AJ
LWOB16171120,462329286001,AJ
LWOB16171081,462329324001,AJ
LWOB16171082,462329560001,AJ
LWOB16171130,462364823001,AJ
LWOB16171122,462364826001,AJ
LWOB16171131,462364885001,AJ
LWOB16171068,462364892001,AJ
LWOB16171072,462364898001,AJ
LWOB16171151,462364914001,AJ
LWOB16171064,462365005001,AJ
LWOB16171080,462365013001,AJ
LWOB16171084,462365185001,AJ
LWOB16171125,462365249001,AJ
LWOB16171128,462365500001,AJ
LWOB19201062,462418252001,AJ
LWOB19201063,462418262001,AJ
LWOB19201084,462418267001,AJ
LWOB19201079,462418269001,AJ
LWOB19201081,462418275001,AJ
LWOB19201071,462418280001,AJ
LWOB19201082,462418282001,AJ
LWOB19201064,462418293001,AJ
LWOB19201067,462418295001,AJ
LWOB19201069,462418300001,AJ
LWOB19201070,462418304001,AJ
LWOB19201072,462418315001,AJ
LWOB19201073,462418322001,AJ
LWOB19201078,462418329001,AJ
LWOB19201065,462418332001,AJ
LWOB19201085,462422813001,AJ
LWOB19201083,462422847001,AJ
LWOB202103,462590633001,AJ
LWOB2021004,462590633002,AJ
LWSB20213025,462210682001,AJ
LWSB20213011,462218002001,AJ
LWSB20214022,462218004001,AJ
LWSB20213018,462218005001,AJ
LWSB20213012,462218072001,AJ
LWSB20214021,462218073001,AJ
LWSB20213005,462218077001,AJ
LWSB20213022,462218088001,AJ
LWSB20213015,462218089001,AJ
LWSB20214024,462218091001,AJ
LWSB20213008,462218092001,AJ
LWSB20213021,462218101001,AJ
LWSB20213014,462218105001,AJ
LWSB20214023,462218109001,AJ
LWSB20213006,462218112001,AJ
LWSB20213009,462218354001,AJ
LWSB20213024,462218355001,AJ
